 # Alt [km]  H2 [cm^-2]   He [cm^-2]  CH4 [cm^-2]   H [cm^-2]   Tot [cm^-2]
  2998.00    3.788E+09    1.720E+01    3.825E-29    3.743E+10    4.121E+10
  2996.00    7.634E+09    3.494E+01    7.593E-29    7.521E+10    8.285E+10
  2994.00    1.542E+10    7.136E+01    1.507E-28    1.514E+11    1.668E+11
  2992.00    1.940E+10    9.036E+01    1.876E-28    1.900E+11    2.094E+11
  2990.00    2.746E+10    1.293E+02    2.609E-28    2.678E+11    2.952E+11
  2988.00    3.157E+10    1.496E+02    2.971E-28    3.071E+11    3.387E+11
  2986.00    3.987E+10    1.909E+02    3.689E-28    3.864E+11    4.262E+11
  2984.00    4.409E+10    2.122E+02    4.044E-28    4.263E+11    4.704E+11
  2982.00    5.261E+10    2.555E+02    4.747E-28    5.067E+11    5.593E+11
  2980.00    5.693E+10    2.778E+02    5.094E-28    5.472E+11    6.041E+11
  2978.00    6.563E+10    3.230E+02    5.784E-28    6.286E+11    6.942E+11
  2976.00    7.005E+10    3.462E+02    6.124E-28    6.695E+11    7.396E+11
  2974.00    7.893E+10    3.932E+02    6.799E-28    7.518E+11    8.307E+11
  2972.00    8.343E+10    4.173E+02    7.132E-28    7.932E+11    8.767E+11
  2970.00    9.249E+10    4.663E+02    7.793E-28    8.764E+11    9.689E+11
  2968.00    9.708E+10    4.914E+02    8.119E-28    9.183E+11    1.015E+12
  2966.00    1.063E+11    5.423E+02    8.766E-28    1.002E+12    1.109E+12
  2964.00    1.110E+11    5.684E+02    9.085E-28    1.045E+12    1.156E+12
  2962.00    1.204E+11    6.216E+02    9.719E-28    1.130E+12    1.250E+12
  2960.00    1.252E+11    6.490E+02    1.003E-27    1.173E+12    1.298E+12
  2958.00    1.349E+11    7.048E+02    1.065E-27    1.259E+12    1.394E+12
  2956.00    1.398E+11    7.335E+02    1.096E-27    1.303E+12    1.443E+12
  2954.00    1.497E+11    7.922E+02    1.156E-27    1.391E+12    1.540E+12
  2952.00    1.547E+11    8.225E+02    1.186E-27    1.435E+12    1.590E+12
  2950.00    1.649E+11    8.843E+02    1.246E-27    1.524E+12    1.689E+12
  2948.00    1.700E+11    9.162E+02    1.275E-27    1.569E+12    1.739E+12
  2946.00    1.804E+11    9.812E+02    1.333E-27    1.660E+12    1.841E+12
  2944.00    1.857E+11    1.015E+03    1.362E-27    1.706E+12    1.892E+12
  2942.00    1.964E+11    1.083E+03    1.419E-27    1.798E+12    1.995E+12
  2940.00    2.018E+11    1.118E+03    1.447E-27    1.845E+12    2.047E+12
  2938.00    2.128E+11    1.190E+03    1.502E-27    1.938E+12    2.151E+12
  2936.00    2.183E+11    1.227E+03    1.530E-27    1.986E+12    2.204E+12
  2934.00    2.295E+11    1.302E+03    1.584E-27    2.081E+12    2.310E+12
  2932.00    2.352E+11    1.340E+03    1.611E-27    2.128E+12    2.364E+12
  2930.00    2.466E+11    1.419E+03    1.664E-27    2.225E+12    2.471E+12
  2928.00    2.524E+11    1.459E+03    1.690E-27    2.273E+12    2.526E+12
  2926.00    2.641E+11    1.541E+03    1.742E-27    2.370E+12    2.635E+12
  2924.00    2.701E+11    1.583E+03    1.768E-27    2.419E+12    2.689E+12
  2922.00    2.820E+11    1.668E+03    1.819E-27    2.518E+12    2.800E+12
  2920.00    2.881E+11    1.712E+03    1.844E-27    2.568E+12    2.856E+12
  2918.00    3.003E+11    1.802E+03    1.893E-27    2.667E+12    2.968E+12
  2916.00    3.065E+11    1.848E+03    1.918E-27    2.718E+12    3.024E+12
  2914.00    3.191E+11    1.942E+03    1.966E-27    2.819E+12    3.138E+12
  2912.00    3.254E+11    1.990E+03    1.990E-27    2.870E+12    3.195E+12
  2910.00    3.383E+11    2.088E+03    2.037E-27    2.972E+12    3.311E+12
  2908.00    3.448E+11    2.139E+03    2.061E-27    3.024E+12    3.369E+12
  2906.00    3.580E+11    2.243E+03    2.107E-27    3.128E+12    3.486E+12
  2904.00    3.646E+11    2.296E+03    2.130E-27    3.181E+12    3.546E+12
  2902.00    3.782E+11    2.405E+03    2.175E-27    3.287E+12    3.665E+12
  2900.00    3.850E+11    2.462E+03    2.197E-27    3.340E+12    3.725E+12
  2898.00    3.989E+11    2.576E+03    2.241E-27    3.448E+12    3.847E+12
  2896.00    4.059E+11    2.636E+03    2.263E-27    3.503E+12    3.908E+12
  2894.00    4.201E+11    2.756E+03    2.306E-27    3.612E+12    4.032E+12
  2892.00    4.273E+11    2.818E+03    2.327E-27    3.667E+12    4.095E+12
  2890.00    4.419E+11    2.945E+03    2.369E-27    3.778E+12    4.220E+12
  2888.00    4.492E+11    3.010E+03    2.390E-27    3.835E+12    4.284E+12
  2886.00    4.641E+11    3.143E+03    2.431E-27    3.947E+12    4.411E+12
  2884.00    4.717E+11    3.211E+03    2.451E-27    4.004E+12    4.476E+12
  2882.00    4.869E+11    3.349E+03    2.491E-27    4.118E+12    4.605E+12
  2880.00    4.946E+11    3.421E+03    2.511E-27    4.176E+12    4.670E+12
  2878.00    5.102E+11    3.565E+03    2.550E-27    4.291E+12    4.802E+12
  2876.00    5.181E+11    3.640E+03    2.569E-27    4.350E+12    4.868E+12
  2874.00    5.340E+11    3.791E+03    2.607E-27    4.467E+12    5.001E+12
  2872.00    5.421E+11    3.869E+03    2.626E-27    4.526E+12    5.068E+12
  2870.00    5.583E+11    4.027E+03    2.663E-27    4.644E+12    5.203E+12
  2868.00    5.666E+11    4.108E+03    2.681E-27    4.704E+12    5.271E+12
  2866.00    5.832E+11    4.274E+03    2.717E-27    4.824E+12    5.407E+12
  2864.00    5.917E+11    4.359E+03    2.735E-27    4.885E+12    5.476E+12
  2862.00    6.087E+11    4.533E+03    2.770E-27    5.006E+12    5.615E+12
  2860.00    6.174E+11    4.623E+03    2.788E-27    5.068E+12    5.685E+12
  2858.00    6.349E+11    4.805E+03    2.822E-27    5.191E+12    5.826E+12
  2856.00    6.437E+11    4.900E+03    2.839E-27    5.254E+12    5.897E+12
  2854.00    6.616E+11    5.092E+03    2.872E-27    5.379E+12    6.041E+12
  2852.00    6.707E+11    5.191E+03    2.889E-27    5.442E+12    6.113E+12
  2850.00    6.891E+11    5.394E+03    2.921E-27    5.570E+12    6.259E+12
  2848.00    6.984E+11    5.498E+03    2.937E-27    5.634E+12    6.333E+12
  2846.00    7.173E+11    5.711E+03    2.969E-27    5.764E+12    6.481E+12
  2844.00    7.269E+11    5.821E+03    2.985E-27    5.829E+12    6.556E+12
  2842.00    7.462E+11    6.044E+03    3.015E-27    5.961E+12    6.707E+12
  2840.00    7.560E+11    6.159E+03    3.031E-27    6.027E+12    6.783E+12
  2838.00    7.758E+11    6.393E+03    3.061E-27    6.161E+12    6.937E+12
  2836.00    7.858E+11    6.514E+03    3.075E-27    6.228E+12    7.014E+12
  2834.00    8.060E+11    6.759E+03    3.105E-27    6.363E+12    7.169E+12
  2832.00    8.163E+11    6.884E+03    3.119E-27    6.431E+12    7.248E+12
  2830.00    8.370E+11    7.140E+03    3.147E-27    6.568E+12    7.405E+12
  2828.00    8.475E+11    7.272E+03    3.161E-27    6.637E+12    7.485E+12
  2826.00    8.687E+11    7.539E+03    3.189E-27    6.776E+12    7.645E+12
  2824.00    8.794E+11    7.677E+03    3.203E-27    6.846E+12    7.725E+12
  2822.00    9.011E+11    7.957E+03    3.229E-27    6.987E+12    7.888E+12
  2820.00    9.120E+11    8.100E+03    3.243E-27    7.057E+12    7.969E+12
  2818.00    9.342E+11    8.393E+03    3.269E-27    7.200E+12    8.134E+12
  2816.00    9.454E+11    8.544E+03    3.282E-27    7.271E+12    8.217E+12
  2814.00    9.681E+11    8.850E+03    3.307E-27    7.416E+12    8.384E+12
  2812.00    9.796E+11    9.008E+03    3.319E-27    7.488E+12    8.468E+12
  2810.00    1.003E+12    9.330E+03    3.344E-27    7.635E+12    8.638E+12
  2808.00    1.015E+12    9.496E+03    3.356E-27    7.709E+12    8.723E+12
  2806.00    1.038E+12    9.835E+03    3.380E-27    7.858E+12    8.896E+12
  2804.00    1.050E+12    1.001E+04    3.392E-27    7.933E+12    8.983E+12
  2802.00    1.075E+12    1.037E+04    3.415E-27    8.084E+12    9.159E+12
  2800.00    1.087E+12    1.055E+04    3.426E-27    8.160E+12    9.247E+12
  2798.00    1.112E+12    1.092E+04    3.449E-27    8.314E+12    9.426E+12
  2796.00    1.125E+12    1.112E+04    3.460E-27    8.391E+12    9.516E+12
  2794.00    1.151E+12    1.151E+04    3.482E-27    8.547E+12    9.698E+12
  2792.00    1.164E+12    1.171E+04    3.493E-27    8.626E+12    9.790E+12
  2790.00    1.190E+12    1.213E+04    3.514E-27    8.785E+12    9.975E+12
  2788.00    1.203E+12    1.234E+04    3.524E-27    8.864E+12    1.007E+13
  2786.00    1.230E+12    1.277E+04    3.545E-27    9.025E+12    1.026E+13
  2784.00    1.244E+12    1.299E+04    3.555E-27    9.106E+12    1.035E+13
  2782.00    1.272E+12    1.345E+04    3.575E-27    9.269E+12    1.054E+13
  2780.00    1.286E+12    1.368E+04    3.584E-27    9.351E+12    1.064E+13
  2778.00    1.314E+12    1.415E+04    3.604E-27    9.516E+12    1.083E+13
  2776.00    1.328E+12    1.440E+04    3.613E-27    9.599E+12    1.093E+13
  2774.00    1.357E+12    1.489E+04    3.632E-27    9.766E+12    1.112E+13
  2772.00    1.372E+12    1.515E+04    3.641E-27    9.850E+12    1.122E+13
  2770.00    1.401E+12    1.567E+04    3.659E-27    1.002E+13    1.142E+13
  2768.00    1.416E+12    1.593E+04    3.668E-27    1.010E+13    1.152E+13
  2766.00    1.446E+12    1.648E+04    3.686E-27    1.028E+13    1.172E+13
  2764.00    1.462E+12    1.676E+04    3.694E-27    1.036E+13    1.182E+13
  2762.00    1.493E+12    1.733E+04    3.711E-27    1.054E+13    1.203E+13
  2760.00    1.508E+12    1.762E+04    3.720E-27    1.062E+13    1.213E+13
  2758.00    1.540E+12    1.822E+04    3.736E-27    1.080E+13    1.234E+13
  2756.00    1.556E+12    1.853E+04    3.744E-27    1.089E+13    1.244E+13
  2754.00    1.588E+12    1.916E+04    3.760E-27    1.107E+13    1.266E+13
  2752.00    1.605E+12    1.949E+04    3.768E-27    1.116E+13    1.276E+13
  2750.00    1.638E+12    2.015E+04    3.783E-27    1.134E+13    1.298E+13
  2748.00    1.655E+12    2.049E+04    3.790E-27    1.143E+13    1.309E+13
  2746.00    1.689E+12    2.119E+04    3.805E-27    1.162E+13    1.331E+13
  2744.00    1.706E+12    2.155E+04    3.813E-27    1.171E+13    1.342E+13
  2742.00    1.741E+12    2.229E+04    3.827E-27    1.190E+13    1.364E+13
  2740.00    1.759E+12    2.267E+04    3.834E-27    1.199E+13    1.375E+13
  2738.00    1.795E+12    2.343E+04    3.848E-27    1.218E+13    1.398E+13
  2736.00    1.813E+12    2.383E+04    3.854E-27    1.228E+13    1.409E+13
  2734.00    1.849E+12    2.463E+04    3.868E-27    1.247E+13    1.432E+13
  2732.00    1.868E+12    2.505E+04    3.874E-27    1.257E+13    1.444E+13
  2730.00    1.905E+12    2.588E+04    3.887E-27    1.277E+13    1.467E+13
  2728.00    1.924E+12    2.632E+04    3.893E-27    1.286E+13    1.479E+13
  2726.00    1.963E+12    2.719E+04    3.906E-27    1.306E+13    1.502E+13
  2724.00    1.982E+12    2.764E+04    3.912E-27    1.316E+13    1.514E+13
  2722.00    2.021E+12    2.856E+04    3.924E-27    1.336E+13    1.538E+13
  2720.00    2.041E+12    2.903E+04    3.930E-27    1.346E+13    1.550E+13
