 # Alt [km]  H2 [cm^-2]   He [cm^-2]  CH4 [cm^-2]   Tot [cm^-2]  Scale height [km]
  2998.00    3.788E+09    5.921E+08    9.203E+06    4.182E+10     1.959E+07
  2996.00    7.634E+09    1.193E+09    1.855E+07    8.406E+10     1.400E+07
  2994.00    1.542E+10    2.411E+09    3.747E+07    1.693E+11     1.188E+07
  2992.00    1.940E+10    3.033E+09    4.714E+07    2.125E+11     1.184E+07
  2990.00    2.746E+10    4.293E+09    6.672E+07    2.996E+11     1.254E+07
  2988.00    3.157E+10    4.935E+09    7.670E+07    3.437E+11     1.390E+07
  2986.00    3.987E+10    6.232E+09    9.687E+07    4.326E+11     1.477E+07
  2984.00    4.409E+10    6.892E+09    1.071E+08    4.774E+11     1.612E+07
  2982.00    5.261E+10    8.223E+09    1.278E+08    5.676E+11     1.675E+07
  2980.00    5.693E+10    8.898E+09    1.383E+08    6.132E+11     1.841E+07
  2978.00    6.563E+10    1.026E+10    1.595E+08    7.046E+11     1.861E+07
  2976.00    7.005E+10    1.095E+10    1.702E+08    7.507E+11     1.995E+07
  2974.00    7.893E+10    1.234E+10    1.918E+08    8.433E+11     2.015E+07
  2972.00    8.343E+10    1.304E+10    2.027E+08    8.899E+11     1.975E+07
  2970.00    9.249E+10    1.446E+10    2.247E+08    9.836E+11     2.055E+07
  2968.00    9.708E+10    1.517E+10    2.359E+08    1.031E+12     2.014E+07
  2966.00    1.063E+11    1.662E+10    2.583E+08    1.126E+12     1.921E+07
  2964.00    1.110E+11    1.735E+10    2.697E+08    1.173E+12     1.889E+07
  2962.00    1.204E+11    1.883E+10    2.926E+08    1.269E+12     1.811E+07
  2960.00    1.252E+11    1.957E+10    3.042E+08    1.318E+12     1.741E+07
  2958.00    1.349E+11    2.108E+10    3.277E+08    1.416E+12     1.641E+07
  2956.00    1.398E+11    2.185E+10    3.396E+08    1.465E+12     1.624E+07
  2954.00    1.497E+11    2.340E+10    3.637E+08    1.564E+12     1.609E+07
  2952.00    1.547E+11    2.418E+10    3.759E+08    1.614E+12     1.561E+07
  2950.00    1.649E+11    2.577E+10    4.005E+08    1.715E+12     1.549E+07
  2948.00    1.700E+11    2.657E+10    4.131E+08    1.766E+12     1.569E+07
