 # Alt [km]  H2 [cm^-3]   He [cm^-3]  CH4 [cm^-3]  Tot [cm^-3]  Temp [K]  Press [mBar]  Scale height [km]
  2998.00    2.841E+04    4.441E+03    6.902E+01    3.292E+04    940.00    4.272E-12       1.959E+07
  2996.00    2.870E+04    4.486E+03    6.972E+01    3.326E+04    940.00    4.316E-12       1.400E+07
  2994.00    2.911E+04    4.550E+03    7.072E+01    3.373E+04    940.00    4.378E-12       1.188E+07
  2992.00    2.960E+04    4.627E+03    7.191E+01    3.430E+04    940.00    4.451E-12       1.184E+07
  2990.00    3.010E+04    4.705E+03    7.313E+01    3.488E+04    940.00    4.526E-12       1.254E+07
  2988.00    3.058E+04    4.780E+03    7.429E+01    3.543E+04    940.00    4.599E-12       1.390E+07
  2986.00    3.102E+04    4.848E+03    7.536E+01    3.594E+04    940.00    4.665E-12       1.477E+07
  2984.00    3.144E+04    4.914E+03    7.638E+01    3.643E+04    940.00    4.728E-12       1.612E+07
  2982.00    3.183E+04    4.975E+03    7.733E+01    3.688E+04    940.00    4.787E-12       1.675E+07
  2980.00    3.221E+04    5.034E+03    7.825E+01    3.732E+04    940.00    4.844E-12       1.841E+07
  2978.00    3.256E+04    5.089E+03    7.910E+01    3.773E+04    940.00    4.896E-12       1.861E+07
  2976.00    3.291E+04    5.144E+03    7.995E+01    3.813E+04    940.00    4.949E-12       1.995E+07
  2974.00    3.324E+04    5.195E+03    8.075E+01    3.852E+04    940.00    4.999E-12       2.015E+07
  2972.00    3.357E+04    5.247E+03    8.156E+01    3.890E+04    940.00    5.048E-12       1.975E+07
  2970.00    3.391E+04    5.300E+03    8.238E+01    3.929E+04    940.00    5.099E-12       2.055E+07
  2968.00    3.424E+04    5.352E+03    8.318E+01    3.967E+04    940.00    5.149E-12       2.014E+07
  2966.00    3.458E+04    5.405E+03    8.401E+01    4.007E+04    940.00    5.200E-12       1.921E+07
  2964.00    3.494E+04    5.461E+03    8.488E+01    4.049E+04    940.00    5.254E-12       1.889E+07
  2962.00    3.531E+04    5.519E+03    8.578E+01    4.091E+04    940.00    5.310E-12       1.811E+07
  2960.00    3.570E+04    5.580E+03    8.673E+01    4.137E+04    940.00    5.369E-12       1.741E+07
  2958.00    3.611E+04    5.644E+03    8.773E+01    4.184E+04    940.00    5.430E-12       1.641E+07
  2956.00    3.655E+04    5.713E+03    8.879E+01    4.235E+04    940.00    5.496E-12       1.624E+07
  2954.00    3.700E+04    5.783E+03    8.989E+01    4.287E+04    940.00    5.564E-12       1.609E+07
  2952.00    3.746E+04    5.855E+03    9.101E+01    4.341E+04    940.00    5.633E-12       1.561E+07
  2950.00    3.794E+04    5.930E+03    9.217E+01    4.396E+04    940.00    5.705E-12       1.549E+07
  2948.00    3.843E+04    6.007E+03    9.336E+01    4.453E+04    940.00    5.779E-12       1.569E+07
  2946.00    3.892E+04    6.083E+03    9.455E+01    4.510E+04    940.00    5.853E-12       1.589E+07
  2944.00    3.941E+04    6.160E+03    9.574E+01    4.567E+04    940.00    5.927E-12       1.576E+07
  2942.00    3.991E+04    6.238E+03    9.696E+01    4.624E+04    940.00    6.002E-12       1.629E+07
  2940.00    4.040E+04    6.315E+03    9.815E+01    4.681E+04    940.00    6.075E-12       1.649E+07
  2938.00    4.089E+04    6.391E+03    9.934E+01    4.738E+04    940.00    6.149E-12       1.704E+07
  2936.00    4.137E+04    6.466E+03    1.005E+02    4.794E+04    940.00    6.221E-12       1.724E+07
  2934.00    4.185E+04    6.541E+03    1.017E+02    4.849E+04    940.00    6.293E-12       1.781E+07
  2932.00    4.232E+04    6.615E+03    1.028E+02    4.904E+04    940.00    6.364E-12       1.763E+07
  2930.00    4.280E+04    6.690E+03    1.040E+02    4.959E+04    940.00    6.436E-12       1.783E+07
  2928.00    4.328E+04    6.765E+03    1.051E+02    5.015E+04    940.00    6.508E-12       1.767E+07
  2926.00    4.377E+04    6.841E+03    1.063E+02    5.072E+04    940.00    6.582E-12       1.787E+07
  2924.00    4.426E+04    6.918E+03    1.075E+02    5.129E+04    940.00    6.656E-12       1.770E+07
  2922.00    4.476E+04    6.996E+03    1.087E+02    5.186E+04    940.00    6.731E-12       1.755E+07
  2920.00    4.527E+04    7.076E+03    1.100E+02    5.246E+04    940.00    6.808E-12       1.775E+07
  2918.00    4.578E+04    7.155E+03    1.112E+02    5.305E+04    940.00    6.884E-12       1.728E+07
  2916.00    4.631E+04    7.238E+03    1.125E+02    5.366E+04    940.00    6.964E-12       1.684E+07
  2914.00    4.686E+04    7.324E+03    1.138E+02    5.430E+04    940.00    7.047E-12       1.674E+07
  2912.00    4.742E+04    7.412E+03    1.152E+02    5.495E+04    940.00    7.131E-12       1.635E+07
  2910.00    4.800E+04    7.502E+03    1.166E+02    5.562E+04    940.00    7.218E-12       1.600E+07
  2908.00    4.860E+04    7.596E+03    1.181E+02    5.631E+04    940.00    7.309E-12       1.593E+07
  2906.00    4.921E+04    7.692E+03    1.196E+02    5.702E+04    940.00    7.400E-12       1.562E+07
  2904.00    4.984E+04    7.790E+03    1.211E+02    5.775E+04    940.00    7.495E-12       1.557E+07
  2902.00    5.048E+04    7.890E+03    1.226E+02    5.849E+04    940.00    7.591E-12       1.553E+07
  2900.00    5.113E+04    7.992E+03    1.242E+02    5.925E+04    940.00    7.689E-12       1.573E+07
  2898.00    5.178E+04    8.093E+03    1.258E+02    6.000E+04    940.00    7.787E-12       1.569E+07
  2896.00    5.244E+04    8.196E+03    1.274E+02    6.076E+04    940.00    7.886E-12       1.589E+07
  2894.00    5.310E+04    8.300E+03    1.290E+02    6.153E+04    940.00    7.985E-12       1.634E+07
  2892.00    5.375E+04    8.401E+03    1.306E+02    6.228E+04    940.00    8.083E-12       1.654E+07
  2890.00    5.440E+04    8.503E+03    1.322E+02    6.303E+04    940.00    8.181E-12       1.700E+07
  2888.00    5.504E+04    8.603E+03    1.337E+02    6.378E+04    940.00    8.277E-12       1.720E+07
  2886.00    5.568E+04    8.703E+03    1.353E+02    6.452E+04    940.00    8.373E-12       1.768E+07
  2884.00    5.631E+04    8.801E+03    1.368E+02    6.525E+04    940.00    8.468E-12       1.760E+07
  2882.00    5.695E+04    8.901E+03    1.384E+02    6.599E+04    940.00    8.564E-12       1.808E+07
  2880.00    5.758E+04    9.000E+03    1.399E+02    6.672E+04    940.00    8.659E-12       1.799E+07
  2878.00    5.822E+04    9.100E+03    1.414E+02    6.746E+04    940.00    8.755E-12       1.819E+07
  2876.00    5.886E+04    9.200E+03    1.430E+02    6.820E+04    940.00    8.851E-12       1.811E+07
  2874.00    5.951E+04    9.301E+03    1.446E+02    6.896E+04    940.00    8.949E-12       1.776E+07
  2872.00    6.018E+04    9.406E+03    1.462E+02    6.973E+04    940.00    9.050E-12       1.796E+07
  2870.00    6.085E+04    9.511E+03    1.478E+02    7.051E+04    940.00    9.151E-12       1.764E+07
  2868.00    6.154E+04    9.619E+03    1.495E+02    7.131E+04    940.00    9.254E-12       1.734E+07
  2866.00    6.225E+04    9.730E+03    1.512E+02    7.213E+04    940.00    9.361E-12       1.705E+07
  2864.00    6.298E+04    9.844E+03    1.530E+02    7.298E+04    940.00    9.471E-12       1.679E+07
  2862.00    6.373E+04    9.961E+03    1.548E+02    7.385E+04    940.00    9.584E-12       1.655E+07
  2860.00    6.450E+04    1.008E+04    1.567E+02    7.474E+04    940.00    9.700E-12       1.612E+07
  2858.00    6.530E+04    1.021E+04    1.586E+02    7.567E+04    940.00    9.820E-12       1.593E+07
  2856.00    6.612E+04    1.033E+04    1.606E+02    7.662E+04    940.00    9.943E-12       1.574E+07
  2854.00    6.696E+04    1.047E+04    1.627E+02    7.759E+04    940.00    1.007E-11       1.557E+07
  2852.00    6.782E+04    1.060E+04    1.648E+02    7.859E+04    940.00    1.020E-11       1.559E+07
  2850.00    6.869E+04    1.074E+04    1.669E+02    7.959E+04    940.00    1.033E-11       1.561E+07
  2848.00    6.957E+04    1.087E+04    1.690E+02    8.061E+04    940.00    1.046E-11       1.581E+07
  2846.00    7.045E+04    1.101E+04    1.712E+02    8.163E+04    940.00    1.059E-11       1.583E+07
  2844.00    7.134E+04    1.115E+04    1.733E+02    8.266E+04    940.00    1.073E-11       1.621E+07
  2842.00    7.222E+04    1.129E+04    1.755E+02    8.368E+04    940.00    1.086E-11       1.641E+07
  2840.00    7.310E+04    1.143E+04    1.776E+02    8.470E+04    940.00    1.099E-11       1.680E+07
  2838.00    7.397E+04    1.156E+04    1.797E+02    8.571E+04    940.00    1.112E-11       1.720E+07
  2836.00    7.483E+04    1.170E+04    1.818E+02    8.671E+04    940.00    1.125E-11       1.740E+07
  2834.00    7.569E+04    1.183E+04    1.839E+02    8.770E+04    940.00    1.138E-11       1.760E+07
  2832.00    7.655E+04    1.196E+04    1.860E+02    8.870E+04    940.00    1.151E-11       1.760E+07
  2830.00    7.742E+04    1.210E+04    1.881E+02    8.971E+04    940.00    1.164E-11       1.800E+07
  2828.00    7.828E+04    1.224E+04    1.902E+02    9.071E+04    940.00    1.177E-11       1.779E+07
  2826.00    7.916E+04    1.237E+04    1.923E+02    9.173E+04    940.00    1.190E-11       1.779E+07
  2824.00    8.005E+04    1.251E+04    1.945E+02    9.276E+04    940.00    1.204E-11       1.779E+07
  2822.00    8.095E+04    1.265E+04    1.967E+02    9.380E+04    940.00    1.217E-11       1.779E+07
  2820.00    8.186E+04    1.279E+04    1.989E+02    9.485E+04    940.00    1.231E-11       1.742E+07
  2818.00    8.280E+04    1.294E+04    2.012E+02    9.594E+04    940.00    1.245E-11       1.725E+07
  2816.00    8.376E+04    1.309E+04    2.035E+02    9.706E+04    940.00    1.260E-11       1.709E+07
  2814.00    8.474E+04    1.324E+04    2.059E+02    9.819E+04    940.00    1.274E-11       1.662E+07
  2812.00    8.576E+04    1.340E+04    2.083E+02    9.937E+04    940.00    1.290E-11       1.649E+07
  2810.00    8.680E+04    1.357E+04    2.109E+02    1.006E+05    940.00    1.305E-11       1.607E+07
  2808.00    8.788E+04    1.374E+04    2.135E+02    1.018E+05    940.00    1.322E-11       1.598E+07
  2806.00    8.898E+04    1.391E+04    2.162E+02    1.031E+05    940.00    1.338E-11       1.575E+07
  2804.00    9.011E+04    1.408E+04    2.189E+02    1.044E+05    940.00    1.355E-11       1.554E+07
  2802.00    9.127E+04    1.427E+04    2.217E+02    1.058E+05    940.00    1.373E-11       1.574E+07
  2800.00    9.243E+04    1.445E+04    2.245E+02    1.071E+05    940.00    1.390E-11       1.553E+07
  2798.00    9.362E+04    1.463E+04    2.274E+02    1.085E+05    940.00    1.408E-11       1.573E+07
  2796.00    9.481E+04    1.482E+04    2.303E+02    1.099E+05    940.00    1.426E-11       1.580E+07
  2794.00    9.601E+04    1.501E+04    2.332E+02    1.112E+05    940.00    1.444E-11       1.600E+07
  2792.00    9.721E+04    1.519E+04    2.362E+02    1.126E+05    940.00    1.462E-11       1.634E+07
  2790.00    9.840E+04    1.538E+04    2.391E+02    1.140E+05    940.00    1.480E-11       1.654E+07
  2788.00    9.959E+04    1.557E+04    2.419E+02    1.154E+05    940.00    1.498E-11       1.646E+07
  2786.00    1.008E+05    1.576E+04    2.449E+02    1.168E+05    940.00    1.516E-11       1.680E+07
  2784.00    1.020E+05    1.594E+04    2.478E+02    1.182E+05    940.00    1.534E-11       1.855E+07
  2782.00    1.031E+05    1.611E+04    2.505E+02    1.195E+05    940.00    1.550E-11       1.718E+07
  2780.00    1.043E+05    1.630E+04    2.534E+02    1.209E+05    940.00    1.568E-11       1.738E+07
  2778.00    1.055E+05    1.649E+04    2.563E+02    1.222E+05    940.00    1.587E-11       1.758E+07
  2776.00    1.067E+05    1.668E+04    2.592E+02    1.236E+05    940.00    1.605E-11       1.778E+07
  2774.00    1.079E+05    1.686E+04    2.621E+02    1.250E+05    940.00    1.623E-11       1.660E+07
  2772.00    1.092E+05    1.707E+04    2.653E+02    1.265E+05    940.00    1.642E-11       1.820E+07
  2770.00    1.104E+05    1.726E+04    2.682E+02    1.279E+05    940.00    1.660E-11       1.698E+07
  2768.00    1.117E+05    1.746E+04    2.714E+02    1.294E+05    940.00    1.680E-11       1.718E+07
  2766.00    1.130E+05    1.766E+04    2.745E+02    1.309E+05    940.00    1.699E-11       1.738E+07
  2764.00    1.143E+05    1.787E+04    2.777E+02    1.324E+05    940.00    1.719E-11       1.758E+07
  2762.00    1.156E+05    1.807E+04    2.808E+02    1.339E+05    940.00    1.738E-11       1.651E+07
  2760.00    1.170E+05    1.829E+04    2.842E+02    1.356E+05    940.00    1.759E-11       1.671E+07
  2758.00    1.184E+05    1.851E+04    2.876E+02    1.372E+05    940.00    1.781E-11       1.691E+07
  2756.00    1.198E+05    1.872E+04    2.910E+02    1.388E+05    940.00    1.802E-11       1.597E+07
  2754.00    1.213E+05    1.896E+04    2.947E+02    1.406E+05    940.00    1.824E-11       1.617E+07
  2752.00    1.228E+05    1.919E+04    2.983E+02    1.423E+05    940.00    1.847E-11       1.637E+07
  2750.00    1.243E+05    1.943E+04    3.020E+02    1.440E+05    940.00    1.869E-11       1.657E+07
  2748.00    1.258E+05    1.966E+04    3.056E+02    1.458E+05    940.00    1.892E-11       1.572E+07
  2746.00    1.274E+05    1.991E+04    3.095E+02    1.476E+05    940.00    1.916E-11       1.699E+07
  2744.00    1.289E+05    2.015E+04    3.132E+02    1.494E+05    940.00    1.938E-11       1.611E+07
  2742.00    1.305E+05    2.040E+04    3.170E+02    1.512E+05    940.00    1.962E-11       1.740E+07
  2740.00    1.320E+05    2.063E+04    3.207E+02    1.530E+05    940.00    1.985E-11       1.760E+07
  2738.00    1.335E+05    2.087E+04    3.243E+02    1.547E+05    940.00    2.008E-11       1.669E+07
  2736.00    1.351E+05    2.112E+04    3.282E+02    1.565E+05    940.00    2.032E-11       1.801E+07
  2734.00    1.366E+05    2.135E+04    3.319E+02    1.583E+05    940.00    2.054E-11       1.707E+07
  2732.00    1.382E+05    2.160E+04    3.357E+02    1.601E+05    940.00    2.078E-11       1.728E+07
  2730.00    1.398E+05    2.185E+04    3.396E+02    1.620E+05    940.00    2.102E-11       1.864E+07
  2728.00    1.413E+05    2.209E+04    3.433E+02    1.637E+05    940.00    2.125E-11       1.662E+07
  2726.00    1.430E+05    2.235E+04    3.474E+02    1.657E+05    940.00    2.150E-11       1.787E+07
  2724.00    1.446E+05    2.260E+04    3.513E+02    1.676E+05    940.00    2.175E-11       1.807E+07
  2722.00    1.462E+05    2.285E+04    3.552E+02    1.694E+05    940.00    2.199E-11       1.720E+07
  2720.00    1.479E+05    2.312E+04    3.593E+02    1.714E+05    940.00    2.224E-11       1.643E+07
  2718.00    1.497E+05    2.340E+04    3.637E+02    1.735E+05    940.00    2.251E-11       1.761E+07
  2716.00    1.514E+05    2.366E+04    3.678E+02    1.754E+05    940.00    2.277E-11       1.682E+07
  2714.00    1.532E+05    2.395E+04    3.722E+02    1.775E+05    940.00    2.304E-11       1.613E+07
  2712.00    1.551E+05    2.424E+04    3.768E+02    1.797E+05    940.00    2.332E-11       1.633E+07
  2710.00    1.570E+05    2.454E+04    3.814E+02    1.819E+05    940.00    2.361E-11       1.570E+07
  2708.00    1.590E+05    2.485E+04    3.863E+02    1.842E+05    940.00    2.391E-11       1.590E+07
  2706.00    1.610E+05    2.516E+04    3.911E+02    1.866E+05    940.00    2.421E-11       1.610E+07
  2704.00    1.630E+05    2.548E+04    3.960E+02    1.889E+05    940.00    2.451E-11       1.552E+07
  2702.00    1.651E+05    2.581E+04    4.011E+02    1.913E+05    940.00    2.483E-11       1.572E+07
  2700.00    1.672E+05    2.613E+04    4.062E+02    1.937E+05    940.00    2.514E-11       1.520E+07
  2698.00    1.694E+05    2.648E+04    4.115E+02    1.963E+05    940.00    2.547E-11       1.613E+07
  2696.00    1.715E+05    2.681E+04    4.166E+02    1.987E+05    940.00    2.579E-11       1.559E+07
  2694.00    1.737E+05    2.715E+04    4.220E+02    2.013E+05    940.00    2.612E-11       1.654E+07
  2692.00    1.758E+05    2.748E+04    4.271E+02    2.037E+05    940.00    2.644E-11       1.598E+07
  2690.00    1.780E+05    2.782E+04    4.324E+02    2.063E+05    940.00    2.677E-11       1.695E+07
  2688.00    1.801E+05    2.815E+04    4.375E+02    2.087E+05    940.00    2.708E-11       1.637E+07
  2686.00    1.823E+05    2.849E+04    4.429E+02    2.112E+05    940.00    2.741E-11       1.736E+07
  2684.00    1.844E+05    2.882E+04    4.480E+02    2.137E+05    940.00    2.773E-11       1.756E+07
  2682.00    1.865E+05    2.915E+04    4.531E+02    2.161E+05    940.00    2.805E-11       1.695E+07
  2680.00    1.887E+05    2.949E+04    4.584E+02    2.187E+05    940.00    2.838E-11       1.715E+07
  2678.00    1.909E+05    2.984E+04    4.638E+02    2.212E+05    940.00    2.871E-11       1.818E+07
  2676.00    1.930E+05    3.017E+04    4.689E+02    2.236E+05    940.00    2.902E-11       1.678E+07
  2674.00    1.953E+05    3.053E+04    4.745E+02    2.263E+05    940.00    2.937E-11       1.775E+07
  2672.00    1.975E+05    3.087E+04    4.798E+02    2.288E+05    940.00    2.970E-11       1.717E+07
  2670.00    1.998E+05    3.123E+04    4.854E+02    2.315E+05    940.00    3.005E-11       1.737E+07
  2668.00    2.021E+05    3.159E+04    4.910E+02    2.342E+05    940.00    3.039E-11       1.684E+07
  2666.00    2.045E+05    3.196E+04    4.968E+02    2.370E+05    940.00    3.075E-11       1.704E+07
  2664.00    2.069E+05    3.234E+04    5.026E+02    2.397E+05    940.00    3.111E-11       1.655E+07
  2662.00    2.094E+05    3.273E+04    5.087E+02    2.426E+05    940.00    3.149E-11       1.611E+07
  2660.00    2.120E+05    3.314E+04    5.150E+02    2.457E+05    940.00    3.188E-11       1.631E+07
  2658.00    2.146E+05    3.354E+04    5.214E+02    2.487E+05    940.00    3.227E-11       1.590E+07
  2656.00    2.173E+05    3.396E+04    5.279E+02    2.518E+05    940.00    3.268E-11       1.552E+07
  2654.00    2.201E+05    3.440E+04    5.347E+02    2.550E+05    940.00    3.310E-11       1.572E+07
  2652.00    2.229E+05    3.484E+04    5.415E+02    2.583E+05    940.00    3.352E-11       1.592E+07
  2650.00    2.257E+05    3.528E+04    5.483E+02    2.615E+05    940.00    3.394E-11       1.557E+07
  2648.00    2.286E+05    3.573E+04    5.554E+02    2.649E+05    940.00    3.438E-11       1.633E+07
  2646.00    2.314E+05    3.617E+04    5.622E+02    2.681E+05    940.00    3.480E-11       1.596E+07
  2644.00    2.343E+05    3.662E+04    5.692E+02    2.715E+05    940.00    3.523E-11       1.616E+07
  2642.00    2.372E+05    3.707E+04    5.763E+02    2.749E+05    940.00    3.567E-11       1.694E+07
  2640.00    2.400E+05    3.751E+04    5.831E+02    2.781E+05    940.00    3.609E-11       1.714E+07
  2638.00    2.428E+05    3.795E+04    5.899E+02    2.813E+05    940.00    3.651E-11       1.734E+07
  2636.00    2.456E+05    3.839E+04    5.967E+02    2.846E+05    940.00    3.693E-11       1.754E+07
  2634.00    2.484E+05    3.883E+04    6.035E+02    2.878E+05    940.00    3.735E-11       1.774E+07
  2632.00    2.512E+05    3.926E+04    6.103E+02    2.911E+05    940.00    3.778E-11       1.794E+07
  2630.00    2.540E+05    3.970E+04    6.171E+02    2.943E+05    940.00    3.820E-11       1.814E+07
  2628.00    2.568E+05    4.014E+04    6.239E+02    2.976E+05    940.00    3.862E-11       1.771E+07
  2626.00    2.597E+05    4.059E+04    6.309E+02    3.009E+05    940.00    3.905E-11       1.791E+07
  2624.00    2.626E+05    4.104E+04    6.380E+02    3.043E+05    940.00    3.949E-11       1.811E+07
  2622.00    2.655E+05    4.150E+04    6.450E+02    3.076E+05    940.00    3.993E-11       1.770E+07
  2620.00    2.685E+05    4.197E+04    6.523E+02    3.111E+05    940.00    4.038E-11       1.732E+07
  2618.00    2.716E+05    4.245E+04    6.598E+02    3.147E+05    940.00    4.084E-11       1.698E+07
  2616.00    2.748E+05    4.295E+04    6.676E+02    3.184E+05    940.00    4.132E-11       1.665E+07
  2614.00    2.781E+05    4.347E+04    6.756E+02    3.222E+05    940.00    4.182E-11       1.636E+07
  2612.00    2.815E+05    4.400E+04    6.839E+02    3.262E+05    940.00    4.233E-11       1.609E+07
  2610.00    2.850E+05    4.455E+04    6.924E+02    3.302E+05    940.00    4.286E-11       1.583E+07
  2608.00    2.886E+05    4.511E+04    7.011E+02    3.344E+05    940.00    4.340E-11       1.519E+07
  2606.00    2.924E+05    4.570E+04    7.104E+02    3.388E+05    940.00    4.397E-11       1.539E+07
  2604.00    2.962E+05    4.630E+04    7.196E+02    3.432E+05    940.00    4.454E-11       1.519E+07
  2602.00    3.001E+05    4.691E+04    7.291E+02    3.477E+05    940.00    4.513E-11       1.539E+07
  2600.00    3.040E+05    4.752E+04    7.385E+02    3.523E+05    940.00    4.572E-11       1.520E+07
  2598.00    3.080E+05    4.814E+04    7.483E+02    3.569E+05    940.00    4.632E-11       1.540E+07
  2596.00    3.120E+05    4.877E+04    7.580E+02    3.615E+05    940.00    4.692E-11       1.522E+07
  2594.00    3.161E+05    4.941E+04    7.679E+02    3.663E+05    940.00    4.754E-11       1.621E+07
  2592.00    3.200E+05    5.002E+04    7.774E+02    3.708E+05    940.00    4.812E-11       1.600E+07
