   SI----------
 Energy     S        S^+       S^++      S^3+      S^4+      S^5+      S^6+      S^7+      S^8+      S^9+     S^10+     S^11+     S^12+     S^13+     S^14+     S^15+     S^16+
      1 4.470E-17 6.410E-19 5.240E-19 3.730E-19 3.100E-19 1.940E-19 1.280E-19 1.910E-19 1.980E-19 2.640E-19 3.690E-19 5.390E-19 8.010E-19 8.440E-19 7.520E-19 1.610E-19 1.800E-20
     10 9.830E-17 2.080E-17 8.610E-18 4.350E-18 2.790E-18 1.930E-18 1.840E-18 1.650E-18 1.550E-18 1.350E-18 1.370E-18 1.260E-18 1.110E-18 1.040E-18 7.600E-19 8.220E-19 4.840E-19
     50 3.160E-16 2.950E-16 3.540E-16 4.300E-16 4.060E-16 3.820E-16 2.040E-16 1.860E-16 1.700E-16 1.570E-16 1.460E-16 1.360E-16 1.270E-16 1.200E-16 2.470E-16 1.060E-16 1.010E-16
     75 3.380E-16 3.660E-16 5.420E-16 7.660E-16 6.870E-16 1.070E-15 9.170E-16 1.040E-15 5.810E-16 5.750E-16 5.660E-16 5.530E-16 5.390E-16 5.220E-16 1.060E-15 4.740E-16 4.690E-16
    100 3.330E-16 3.760E-16 5.940E-16 8.910E-16 1.270E-15 1.490E-15 1.520E-15 1.810E-15 2.110E-15 1.250E-15 1.280E-15 1.310E-15 1.330E-15 1.360E-15 1.370E-15 1.230E-15 1.390E-15
    200 2.960E-16 3.300E-16 5.200E-16 8.130E-16 1.040E-15 1.620E-15 1.950E-15 2.480E-15 3.060E-15 3.180E-15 3.050E-15 3.510E-15 3.980E-15 4.460E-15 4.950E-15 3.790E-15 6.010E-15
    500 2.350E-16 2.570E-16 3.710E-16 5.340E-16 7.490E-16 1.170E-15 1.610E-15 2.100E-15 2.670E-15 3.090E-15 3.480E-15 4.130E-15 4.810E-15 5.500E-15 6.230E-15 2.960E-15 7.810E-15
   1000 1.890E-16 2.030E-16 2.840E-16 3.710E-16 4.980E-16 7.510E-16 1.020E-15 1.350E-15 1.700E-15 2.100E-15 2.560E-15 3.030E-15 3.530E-15 4.060E-15 4.630E-15 2.070E-15 5.850E-15
   2000 1.470E-16 1.580E-16 2.000E-16 2.550E-16 3.340E-16 4.670E-16 6.290E-16 8.230E-16 1.040E-15 1.290E-15 1.560E-15 1.850E-15 2.160E-15 2.500E-15 2.850E-15 1.350E-15 3.640E-15
   DI----------
 Energy     S        S^+       S^++      S^3+      S^4+      S^5+      S^6+      S^7+      S^8+      S^9+     S^10+     S^11+     S^12+     S^13+     S^14+     S^15+     S^16+
      1 5.490E-19 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
     10 1.090E-17 1.710E-18 2.850E-19 6.460E-20 1.800E-20 2.470E-20 4.270E-21 3.180E-21 3.880E-21 2.230E-21 2.330E-21 1.390E-21 1.490E-21 5.150E-22 5.750E-22 1.580E-22 0.000E+00
     50 1.030E-16 8.880E-17 6.280E-17 3.600E-17 1.850E-17 8.080E-18 3.460E-18 1.700E-18 6.280E-19 6.860E-19 2.570E-19 3.850E-19 2.070E-19 1.110E-19 1.980E-19 9.090E-20 8.780E-20
     75 1.440E-16 1.510E-16 1.390E-16 1.170E-16 8.760E-17 5.840E-17 4.120E-17 2.720E-17 1.790E-17 1.140E-17 9.420E-18 6.670E-18 4.830E-18 3.590E-18 3.290E-18 3.060E-18 1.930E-18
    100 1.560E-16 1.750E-16 1.830E-16 1.830E-16 1.750E-16 1.630E-16 1.440E-16 1.250E-16 1.020E-16 8.330E-17 6.820E-17 5.280E-17 4.080E-17 3.670E-17 3.040E-17 2.470E-17 2.120E-17
    200 1.390E-16 1.620E-16 1.890E-16 2.320E-16 2.830E-16 3.590E-16 4.260E-16 4.780E-16 5.350E-16 5.810E-16 6.110E-16 6.390E-16 6.670E-16 6.730E-16 6.790E-16 6.740E-16 6.670E-16
    500 8.300E-17 9.370E-17 1.090E-16 1.310E-16 1.730E-16 2.360E-16 3.080E-16 4.110E-16 5.110E-16 6.090E-16 7.030E-16 7.860E-16 8.930E-16 1.010E-15 1.130E-15 1.260E-15 1.400E-15
   1000 5.070E-17 5.660E-17 6.510E-17 7.500E-17 9.320E-17 1.210E-16 1.660E-16 2.230E-16 2.970E-16 3.730E-16 4.470E-16 5.280E-16 6.120E-16 7.130E-16 8.200E-16 9.310E-16 1.050E-15
   2000 2.970E-17 3.230E-17 3.530E-17 4.010E-17 4.370E-17 5.470E-17 7.320E-17 1.010E-16 1.380E-16 1.800E-16 2.290E-16 2.830E-16 3.430E-16 4.070E-16 4.760E-16 5.500E-16 5.860E-16
   TI----------
 Energy     S        S^+       S^++      S^3+      S^4+      S^5+      S^6+      S^7+      S^8+      S^9+     S^10+     S^11+     S^12+     S^13+     S^14+     S^15+     S^16+
