 Energy     S        S^+       S^++      S^3+      S^4+      S^5+      S^6+      S^7+      S^8+      S^9+     S^10+     S^11+     S^12+     S^13+     S^14+     S^15+     S^16+
      1  4.14E-17  7.10E-16  2.93E-15  3.90E-15  5.16E-15  6.08E-15  6.74E-15  4.41E-15  6.80E-15  7.53E-15  8.28E-15  1.21E-14  6.96E-15  1.40E-14  1.51E-14  1.64E-14  1.74E-14
      2  6.82E-17  4.53E-16  2.54E-15  3.44E-15  4.65E-15  5.42E-15  6.12E-15  4.48E-15  6.37E-15  7.11E-15  8.46E-15  1.16E-14  7.36E-15  1.34E-14  1.44E-14  1.56E-14  1.66E-14
      3  9.17E-17  3.72E-16  2.41E-15  3.27E-15  4.40E-15  5.11E-15  5.80E-15  4.53E-15  6.14E-15  6.88E-15  8.62E-15  1.12E-14  7.85E-15  1.31E-14  1.41E-14  1.52E-14  1.61E-14
      4  1.13E-16  3.37E-16  2.37E-15  3.18E-15  4.26E-15  4.91E-15  5.59E-15  4.57E-15  5.99E-15  6.72E-15  8.77E-15  1.10E-14  8.35E-15  1.29E-14  1.38E-14  1.48E-14  1.58E-14
      5  1.34E-16  3.22E-16  2.36E-15  3.14E-15  4.15E-15  4.77E-15  5.44E-15  4.62E-15  5.87E-15  6.60E-15  8.90E-15  1.08E-14  8.85E-15  1.28E-14  1.36E-14  1.46E-14  1.55E-14
      6  1.53E-16  3.18E-16  2.36E-15  3.11E-15  4.08E-15  4.67E-15  5.33E-15  4.65E-15  5.78E-15  6.51E-15  9.01E-15  1.07E-14  9.34E-15  1.26E-14  1.35E-14  1.44E-14  1.54E-14
      7  1.72E-16  3.20E-16  2.38E-15  3.10E-15  4.03E-15  4.59E-15  5.23E-15  4.69E-15  5.71E-15  6.43E-15  9.12E-15  1.06E-14  9.82E-15  1.25E-14  1.33E-14  1.43E-14  1.52E-14
      8  1.91E-16  3.27E-16  2.40E-15  3.10E-15  3.99E-15  4.52E-15  5.16E-15  4.73E-15  5.65E-15  6.37E-15  9.21E-15  1.05E-14  1.03E-14  1.24E-14  1.32E-14  1.41E-14  1.51E-14
      9  2.09E-16  3.36E-16  2.43E-15  3.10E-15  3.96E-15  4.47E-15  5.09E-15  4.77E-15  5.59E-15  6.31E-15  9.30E-15  1.04E-14  1.08E-14  1.24E-14  1.31E-14  1.40E-14  1.49E-14
     10  2.26E-16  3.49E-16  2.46E-15  3.11E-15  3.93E-15  4.43E-15  5.04E-15  4.80E-15  5.55E-15  6.26E-15  9.39E-15  1.03E-14  1.12E-14  1.23E-14  1.30E-14  1.39E-14  1.48E-14
     11  2.37E-16  3.59E-16  2.32E-15  2.96E-15  3.76E-15  4.25E-15  4.89E-15  4.78E-15  5.52E-15  6.24E-15  9.24E-15  1.02E-14  1.11E-14  1.21E-14  1.29E-14  1.37E-14  1.47E-14
     12  2.48E-16  3.69E-16  2.20E-15  2.83E-15  3.61E-15  4.10E-15  4.77E-15  4.77E-15  5.51E-15  6.22E-15  9.10E-15  1.01E-14  1.09E-14  1.20E-14  1.27E-14  1.36E-14  1.45E-14
     13  2.58E-16  3.80E-16  2.11E-15  2.72E-15  3.49E-15  3.97E-15  4.67E-15  4.76E-15  5.49E-15  6.21E-15  8.98E-15  9.97E-15  1.08E-14  1.19E-14  1.26E-14  1.35E-14  1.44E-14
     14  2.69E-16  3.91E-16  2.03E-15  2.63E-15  3.39E-15  3.87E-15  4.59E-15  4.75E-15  5.48E-15  6.20E-15  8.87E-15  9.87E-15  1.07E-14  1.17E-14  1.25E-14  1.34E-14  1.42E-14
     15  2.79E-16  4.02E-16  1.95E-15  2.56E-15  3.30E-15  3.78E-15  4.52E-15  4.74E-15  5.47E-15  6.19E-15  8.77E-15  9.77E-15  1.06E-14  1.16E-14  1.24E-14  1.33E-14  1.41E-14
     16  2.89E-16  4.13E-16  1.89E-15  2.49E-15  3.23E-15  3.71E-15  4.46E-15  4.74E-15  5.47E-15  6.18E-15  8.67E-15  9.69E-15  1.05E-14  1.15E-14  1.23E-14  1.32E-14  1.40E-14
     17  2.99E-16  4.25E-16  1.84E-15  2.43E-15  3.16E-15  3.65E-15  4.41E-15  4.73E-15  5.46E-15  6.17E-15  8.59E-15  9.61E-15  1.05E-14  1.14E-14  1.22E-14  1.31E-14  1.39E-14
     18  3.09E-16  4.36E-16  1.79E-15  2.38E-15  3.11E-15  3.60E-15  4.37E-15  4.73E-15  5.46E-15  6.17E-15  8.51E-15  9.53E-15  1.04E-14  1.14E-14  1.21E-14  1.30E-14  1.38E-14
     19  3.19E-16  4.48E-16  1.75E-15  2.34E-15  3.06E-15  3.55E-15  4.33E-15  4.73E-15  5.45E-15  6.17E-15  8.43E-15  9.46E-15  1.03E-14  1.13E-14  1.20E-14  1.29E-14  1.37E-14
     20  3.29E-16  4.60E-16  1.72E-15  2.30E-15  3.01E-15  3.51E-15  4.30E-15  4.73E-15  5.45E-15  6.17E-15  8.37E-15  9.40E-15  1.02E-14  1.12E-14  1.20E-14  1.28E-14  1.37E-14
     21  3.39E-16  4.72E-16  1.68E-15  2.27E-15  2.98E-15  3.48E-15  4.28E-15  4.73E-15  5.45E-15  6.17E-15  8.30E-15  9.34E-15  1.02E-14  1.11E-14  1.19E-14  1.27E-14  1.36E-14
     22  3.48E-16  4.85E-16  1.66E-15  2.24E-15  2.95E-15  3.45E-15  4.26E-15  4.73E-15  5.46E-15  6.17E-15  8.24E-15  9.28E-15  1.01E-14  1.11E-14  1.18E-14  1.27E-14  1.35E-14
     23  3.58E-16  4.97E-16  1.63E-15  2.21E-15  2.92E-15  3.43E-15  4.24E-15  4.74E-15  5.46E-15  6.17E-15  8.18E-15  9.23E-15  1.01E-14  1.10E-14  1.18E-14  1.26E-14  1.34E-14
     24  3.67E-16  5.10E-16  1.61E-15  2.19E-15  2.90E-15  3.41E-15  4.22E-15  4.74E-15  5.46E-15  6.18E-15  8.13E-15  9.18E-15  1.00E-14  1.09E-14  1.17E-14  1.26E-14  1.34E-14
     25  3.77E-16  5.23E-16  1.60E-15  2.17E-15  2.88E-15  3.40E-15  4.21E-15  4.75E-15  5.46E-15  6.18E-15  8.08E-15  9.13E-15  9.97E-15  1.09E-14  1.17E-14  1.25E-14  1.33E-14
     26  3.86E-16  5.37E-16  1.58E-15  2.16E-15  2.86E-15  3.39E-15  4.20E-15  4.75E-15  5.47E-15  6.18E-15  8.03E-15  9.09E-15  9.92E-15  1.08E-14  1.16E-14  1.25E-14  1.33E-14
     27  3.95E-16  5.50E-16  1.57E-15  2.15E-15  2.85E-15  3.38E-15  4.20E-15  4.76E-15  5.48E-15  6.19E-15  7.99E-15  9.04E-15  9.88E-15  1.08E-14  1.16E-14  1.24E-14  1.32E-14
     28  4.05E-16  5.64E-16  1.56E-15  2.14E-15  2.84E-15  3.37E-15  4.19E-15  4.76E-15  5.48E-15  6.20E-15  7.95E-15  9.00E-15  9.84E-15  1.07E-14  1.15E-14  1.24E-14  1.31E-14
     29  4.14E-16  5.78E-16  1.55E-15  2.13E-15  2.83E-15  3.37E-15  4.19E-15  4.77E-15  5.49E-15  6.20E-15  7.91E-15  8.97E-15  9.80E-15  1.07E-14  1.15E-14  1.23E-14  1.31E-14
     30  4.23E-16  5.92E-16  1.54E-15  2.13E-15  2.83E-15  3.37E-15  4.19E-15  4.78E-15  5.50E-15  6.21E-15  7.87E-15  8.93E-15  9.76E-15  1.06E-14  1.14E-14  1.23E-14  1.31E-14
     31  4.32E-16  6.07E-16  1.54E-15  2.13E-15  2.83E-15  3.37E-15  4.19E-15  4.79E-15  5.51E-15  6.22E-15  7.84E-15  8.90E-15  9.73E-15  1.06E-14  1.14E-14  1.22E-14  1.30E-14
     32  4.41E-16  6.21E-16  1.54E-15  2.13E-15  2.83E-15  3.38E-15  4.20E-15  4.80E-15  5.51E-15  6.23E-15  7.80E-15  8.87E-15  9.69E-15  1.06E-14  1.14E-14  1.22E-14  1.30E-14
     33  4.51E-16  6.36E-16  1.54E-15  2.13E-15  2.83E-15  3.39E-15  4.20E-15  4.81E-15  5.52E-15  6.24E-15  7.77E-15  8.84E-15  9.66E-15  1.05E-14  1.13E-14  1.22E-14  1.29E-14
     34  4.60E-16  6.52E-16  1.54E-15  2.13E-15  2.83E-15  3.40E-15  4.21E-15  4.82E-15  5.54E-15  6.25E-15  7.74E-15  8.81E-15  9.63E-15  1.05E-14  1.13E-14  1.21E-14  1.29E-14
     35  4.69E-16  6.67E-16  1.54E-15  2.14E-15  2.84E-15  3.41E-15  4.22E-15  4.83E-15  5.55E-15  6.26E-15  7.71E-15  8.78E-15  9.60E-15  1.05E-14  1.13E-14  1.21E-14  1.28E-14
     36  4.78E-16  6.83E-16  1.54E-15  2.15E-15  2.85E-15  3.42E-15  4.23E-15  4.85E-15  5.56E-15  6.27E-15  7.69E-15  8.76E-15  9.58E-15  1.04E-14  1.12E-14  1.21E-14  1.28E-14
     37  4.87E-16  6.99E-16  1.55E-15  2.16E-15  2.86E-15  3.44E-15  4.24E-15  4.86E-15  5.57E-15  6.29E-15  7.67E-15  8.74E-15  9.55E-15  1.04E-14  1.12E-14  1.20E-14  1.28E-14
     38  4.96E-16  7.15E-16  1.55E-15  2.17E-15  2.88E-15  3.46E-15  4.25E-15  4.87E-15  5.59E-15  6.30E-15  7.64E-15  8.71E-15  9.53E-15  1.04E-14  1.12E-14  1.20E-14  1.27E-14
     39  5.05E-16  7.31E-16  1.56E-15  2.18E-15  2.89E-15  3.48E-15  4.26E-15  4.89E-15  5.60E-15  6.31E-15  7.62E-15  8.69E-15  9.51E-15  1.04E-14  1.12E-14  1.20E-14  1.27E-14
     40  5.14E-16  7.48E-16  1.57E-15  2.20E-15  2.91E-15  3.50E-15  4.28E-15  4.90E-15  5.61E-15  6.33E-15  7.60E-15  8.67E-15  9.49E-15  1.03E-14  1.12E-14  1.19E-14  1.27E-14
     41  5.23E-16  7.65E-16  1.58E-15  2.21E-15  2.93E-15  3.52E-15  4.29E-15  4.92E-15  5.63E-15  6.34E-15  7.58E-15  8.66E-15  9.47E-15  1.03E-14  1.11E-14  1.19E-14  1.27E-14
     42  5.31E-16  7.83E-16  1.59E-15  2.23E-15  2.95E-15  3.55E-15  4.31E-15  4.94E-15  5.64E-15  6.36E-15  7.57E-15  8.64E-15  9.45E-15  1.03E-14  1.11E-14  1.19E-14  1.26E-14
     43  5.40E-16  8.00E-16  1.60E-15  2.25E-15  2.97E-15  3.58E-15  4.33E-15  4.95E-15  5.66E-15  6.37E-15  7.55E-15  8.62E-15  9.43E-15  1.03E-14  1.11E-14  1.19E-14  1.26E-14
     44  5.49E-16  8.18E-16  1.62E-15  2.28E-15  3.00E-15  3.61E-15  4.35E-15  4.97E-15  5.68E-15  6.39E-15  7.54E-15  8.61E-15  9.42E-15  1.02E-14  1.11E-14  1.19E-14  1.26E-14
     45  5.58E-16  8.36E-16  1.63E-15  2.30E-15  3.03E-15  3.64E-15  4.37E-15  4.99E-15  5.69E-15  6.41E-15  7.52E-15  8.60E-15  9.40E-15  1.02E-14  1.11E-14  1.18E-14  1.26E-14
     46  5.67E-16  8.55E-16  1.65E-15  2.33E-15  3.06E-15  3.68E-15  4.39E-15  5.01E-15  5.71E-15  6.42E-15  7.51E-15  8.59E-15  9.39E-15  1.02E-14  1.11E-14  1.18E-14  1.26E-14
