   Energy Bin:  JEDI Intensity:  Energy Bin Width:  Normalized Flux:
    170.660        124.9266              33.28         26121.373
    185.897        134.8954              15.92         13490.612
    202.494        145.6596              17.34         15867.680
    220.572        157.2828              18.89         18663.592
    240.265        169.8335              19.13         20414.069
    258.833        161.6748              19.29         19591.063
    278.836        153.9081              20.78         20091.227
    300.386        146.5144              22.38         20604.160
    323.600        139.4759              28.04         24576.633
    356.474        150.9849              34.54         32770.493
    392.688        163.4435              38.05         39078.374
    432.580        176.9302              41.92         46600.437
    476.525        191.5297              50.26         60488.538
    533.108        164.3652              59.94         61904.642
    596.410        141.0534              67.06         59432.820
    667.228        121.0478              75.02         57059.698
    746.455        103.8797              63.46         41421.016
    794.151         93.9022              49.22         29039.786
    844.894         84.8830              52.36         27927.867
    898.880         76.7301              55.71         26858.523
    956.315         69.3603              60.84         26513.644
   1020.557         61.2557              66.40         25555.977
   1089.114         54.0982              70.86         24085.996
   1162.277         47.7769              75.62         22700.568
   1240.355         42.1943             111.55         29573.876
   1385.380         33.2013             153.50         32022.223
   1547.361         26.1250             171.45         28143.304
   1728.281         20.5569             191.50         24734.247
   1930.355         16.1755             255.05         25921.705
   2238.382         10.2286             332.60         21375.812
   2595.561          6.4681             385.68         15673.954
   3009.736          4.0901             447.22         11493.030
   3490.000          2.5864             593.68          9647.805
   4197.105          1.5325             778.74          7498.292
   5047.475          0.9080             936.52          5343.000
   6070.137          0.5380            1126.26          3807.221
   7300.000          0.3188            1297.43          2598.670
   8664.999          0.2125            1350.00          1802.642
  10000.001          0.1417             667.50           594.204
